job_output_id,configuration_id,observation_code,end_time
"",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:07:18.914
"""1YGLetn1MLaSRnzTAumSeLQEus0""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:07:58.269
"""1YGLk9YJrLqp9RqXjP84qCLuX5q""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:08:22.769
"""1YGLrFZw8J2wuGSkMQ8B7VuQrhq""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:09:33.451
"""1YGLuHznFgQgyjIWxKWOwi0nfpI""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:10:00.733
"""1YGLxTyjW4kaZofcImEGmoZrRte""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:10:25.233
"""1YGM00cNEvW2xVgtbf7DNynzD0I""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:10:45.417
"""1YGM6xmYsfSM3CPQ2LOM02XTQ5k""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:11:38.642
"""1YGM9VrZewWDbis7h8OIuNhRRRF""",ed391b1a-bf41-4cda-8636-427091d8213c,MST,2020-02-24 17:12:01.797
"""1YGMDHkVhWcalFKpsiudejxHwTl""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:12:30.649
"""1YGMLhdEsrL4lz6emTV3NMQO50P""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:13:37.756
"""1YGMOorplwN81CQ4jKwK2sKeIuJ""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:14:02.554
"""1YGMROI55zN2GVPN6P1AFuMdRm3""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:14:23.953
"""1YGMW46pQAGDfqQfnI0DnRaiMEP""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:15:02.412
"""1YGMYgskC72Ex8DMSkhe8swvs73""",ed391b1a-bf41-4cda-8636-427091d8213c,YLD,2020-02-24 17:15:22.458
"""1YGMb6DptI7OKEzuwdWAxANfxiR""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:15:42.475
"""1YGMgyHWfaSp0VaARunKz7cOATy""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:16:28.449
"""1YGMjsQknxORPKEx63V9qi59Z7x""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:16:50.493
