ENTRY,ENTRY_CATEGORY,LOCATION,REP,RESP,COV
"MON201086,MON101065,MON101082,MON101068",TEST,ARJO,1,167.8861,5.7
"MON201085,MON101065,MON101082,MON101068",TEST,ARJO,1,176.1128,5.7
"MON201084,MON101065,MON101082,MON101068",TEST,ARJO,1,169.7088,5.7
"MON201083,MON101065,MON101082,MON101068",TEST,ARJO,1,178.7334,5.7
"MON201082,MON101065,MON101082,MON101068",TEST,ARJO,1,175.6388,5.7
"MON201081,MON101065,MON101082,MON101068",TEST,ARJO,1,158.8477,5.7
"MON201080,MON101065,MON101082,MON101068",TEST,ARJO,1,164.3321,5.7
"MON201079,MON101065,MON101082,MON101068",TEST,ARJO,1,169.3752,5.7
"MON201078,MON101065,MON101082,MON101068",TEST,ARJO,1,177.1763,5.7
"MON201077,MON101065,MON101082,MON101068",TEST,ARJO,1,147.8346,5.7
"MON201076,MON101065,MON101082,MON101068",TEST,ARJO,1,190.6752,5.7
"MON201075,MON101065,MON101082,MON101068",TEST,ARJO,1,159.5413,5.7
"MON201074,MON101065,MON101082,MON101068",TEST,ARJO,1,182.5387,5.7
"MON201073,MON101065,MON101082,MON101068",TEST,ARJO,1,153.4962,5.7
"MON201072,MON101065,MON101082,MON101068",TEST,ARJO,1,160.1955,5.7
"MON201071,MON101065,MON101082,MON101068",TEST,ARJO,1,151.0973,5.7
"MON201070,MON101065,MON101082,MON101068",TEST,ARJO,1,162.5102,5.7
"MON201069,MON101065,MON101082,MON101068",TEST,ARJO,1,184.7887,5.7
"MON201068,MON101065,MON101082,MON101068",TEST,ARJO,1,159.1039,5.7
"MON201067,MON101065,MON101082,MON101068",TEST,ARJO,1,147.7996,5.7
"MON201066,MON101065,MON101082,MON101068",TEST,ARJO,1,174.9145,5.7
"MON201065,MON101065,MON101082,MON101068",TEST,ARJO,1,166.9556,5.7
"MON201064,MON101065,MON101082,MON101068",TEST,ARJO,1,162.9697,5.7
"MON201063,MON101065,MON101082,MON101068",TEST,ARJO,1,173.7084,5.7
"MON201062,MON101065,MON101082,MON101068",TEST,ARJO,1,136.1775,5.7
"MON201061,MON101065,MON101082,MON101068",TEST,ARJO,1,179.0584,5.7
"MON201060,MON101065,MON101082,MON101068",TEST,ARJO,1,162.5843,5.7
"MON201059,MON101065,MON101082,MON101068",TEST,ARJO,1,168.777,5.7
"MON201058,MON101065,MON101082,MON101068",TEST,ARJO,1,182.0442,5.7
"MON201057,MON101065,MON101082,MON101068",TEST,ARJO,1,173.974,5.7
"MON201056,MON101065,MON101082,MON101068",TEST,ARJO,1,163.1963,5.7
"MON201055,MON101065,MON101082,MON101068",TEST,ARJO,1,117.7541,5.7
"MON201054,MON101065,MON101082,MON101068",TEST,ARJO,1,175.802,5.7
"MON201053,MON101065,MON101082,MON101068",TEST,ARJO,1,157.3818,5.7
"MON201052,MON101065,MON101082,MON101068",TEST,ARJO,1,155.7251,5.7
"MON201051,MON101065,MON101082,MON101068",TEST,ARJO,1,170.3763,5.7
"MON201050,MON101065,MON101082,MON101068",TEST,ARJO,1,163.2772,5.7
"MON201049,MON101065,MON101082,MON101068",TEST,ARJO,1,160.5343,5.7
"MON201048,MON101065,MON101082,MON101068",TEST,ARJO,1,158.8537,5.7
"MON201047,MON101065,MON101082,MON101068",TEST,ARJO,1,164.8419,5.7
"MON201046,MON101065,MON101082,MON101068",TEST,ARJO,1,176.0291,5.7
"MON201045,MON101065,MON101082,MON101068",TEST,ARJO,1,192.9658,5.7
"MON201044,MON101065,MON101082,MON101068",TEST,ARJO,1,178.0596,5.7
"MON201043,MON101065,MON101082,MON101068",TEST,ARJO,1,161.4536,5.7
"MON201042,MON101065,MON101082,MON101068",TEST,ARJO,1,145.5145,5.7
"MON201041,MON101065,MON101082,MON101068",TEST,ARJO,1,173.9239,5.7
"MON201040,MON101065,MON101082,MON101068",TEST,ARJO,1,169.0471,5.7
"MON201039,MON101065,MON101082,MON101068",TEST,ARJO,1,175.2609,5.7
"MON201038,MON101065,MON101082,MON101068",TEST,ARJO,1,179.6883,5.7
"MON201037,MON101065,MON101082,MON101068",TEST,ARJO,1,181.7325,5.7
"MON201036,MON101065,MON101082,MON101068",TEST,ARJO,1,162.4288,5.7
"MON201035,MON101065,MON101082,MON101068",TEST,ARJO,1,156.0521,5.7
"MON201034,MON101065,MON101082,MON101068",TEST,ARJO,1,142.7473,5.7
"MON201033,MON101065,MON101082,MON101068",TEST,ARJO,1,166.3416,5.7
"MON201032,MON101065,MON101082,MON101068",TEST,ARJO,1,163.3237,5.7
"MON201031,MON101065,MON101082,MON101068",TEST,ARJO,1,161.2419,5.7
"MON201030,MON101065,MON101082,MON101068",TEST,ARJO,1,189.4827,5.7
"MON201029,MON101065,MON101082,MON101068",TEST,ARJO,1,169.5951,5.7
"MON201028,MON101065,MON101082,MON101068",TEST,ARJO,1,158.5404,5.7
"MON201027,MON101065,MON101082,MON101068",TEST,ARJO,1,156.1799,5.7
"MON201026,MON101065,MON101082,MON101068",TEST,ARJO,1,112.8519,5.7
"MON201025,MON101065,MON101082,MON101068",TEST,ARJO,1,161.8593,5.7
"MON201024,MON101065,MON101082,MON101068",TEST,ARJO,1,158.1842,5.7
"MON201023,MON101065,MON101082,MON101068",TEST,ARJO,1,160.5379,5.7
"MON201022,MON101065,MON101082,MON101068",TEST,ARJO,1,166.7432,5.7
"MON201021,MON101065,MON101082,MON101068",TEST,ARJO,1,162.4437,5.7
"MON201020,MON101065,MON101082,MON101068",TEST,ARJO,1,183.3118,5.7
"MON201019,MON101065,MON101082,MON101068",TEST,ARJO,1,155.6299,5.7
"MON201018,MON101065,MON101082,MON101068",TEST,ARJO,1,167.0956,5.7
"MON201017,MON101065,MON101082,MON101068",TEST,ARJO,1,176.7409,5.7
"MON201016,MON101065,MON101082,MON101068",TEST,ARJO,1,169.7655,5.7
"MON201015,MON101065,MON101082,MON101068",TEST,ARJO,1,163.0111,5.7
"MON201014,MON101065,MON101082,MON101068",TEST,ARJO,1,170.0131,5.7
"MON201013,MON101065,MON101082,MON101068",TEST,ARJO,1,163.8538,5.7
"MON201012,MON101065,MON101082,MON101068",TEST,ARJO,1,156.4525,5.7
"MON201011,MON101065,MON101082,MON101068",TEST,ARJO,1,155.4716,5.7
"MON201010,MON101065,MON101082,MON101068",TEST,ARJO,1,183.5058,5.7
"MON201009,MON101065,MON101082,MON101068",TEST,ARJO,1,181.1351,5.7
