"","Entry","Yield","SE","CI_L","CI_U"
"1","MON101065-MON101066-MON101068-MON101082",186.91072199691,14.2724211553927,158.932154957468,214.889289036353
"2","MON101065-MON101068-MON101082-MON101149",196.449855329777,14.2724211553885,168.471288290343,224.428422369211
"3","MON101065-MON101068-MON101082-MON101149-MON102125",184.036275001636,13.7546881398083,157.072632320672,210.999917682601
"4","MON101065-MON101068-MON101082-MON101326",193.025250001636,13.7546881398083,166.061607320672,219.988892682601
"5","MON101065-MON101068-MON101082-MON102125",192.634025001636,13.7546881398083,165.670382320672,219.597667682601
"6","MON101065-MON101082-MON101068",187.686144166259,12.0796583468985,164.006102273398,211.366186059121
"7","MON101065-MON101082-MON101068-MON200041",191.436250001636,13.7546881398083,164.472607320672,218.399892682601
"8","MON101065-MON101082-MON101068-MON200057",178.373725001636,13.7546881398083,151.410082320672,205.337367682601
"9","MON101065-MON101082-MON101068-MON200285",192.425150001636,13.7546881398083,165.461507320672,219.388792682601
"10","MON101065-MON101082-MON101068-MON200319",187.225100001636,13.7546881398083,160.261457320672,214.188742682601
"11","MON101065-MON101082-MON101068-MON200350",194.818050001636,13.7546881398083,167.854407320672,221.781692682601
"12","MON101065-MON101082-MON101068-MON200369",195.216832602633,14.2724220108878,167.238263886143,223.195401319123
"13","MON101065-MON101082-MON101068-MON200370",190.615550001636,13.7546881398083,163.651907320672,217.579192682601
"14","MON101065-MON101082-MON101068-MON200377",185.180700001636,13.7546881398083,158.217057320672,212.144342682601
"15","MON101065-MON101082-MON101068-MON200378",182.600350001636,13.7546881398083,155.636707320672,209.563992682601
"16","MON101065-MON101082-MON101068-MON200381",195.387175001636,13.7546881398083,168.423532320672,222.350817682601
"17","MON101065-MON101082-MON101068-MON200423",176.632275001636,13.7546881398083,149.668632320672,203.595917682601
"18","MON101066",191.352956770696,12.1487713338293,167.537431043866,215.168482497525
"19","MON101066-MON101079-MON101087-MON101144",202.416100001636,13.7546881398083,175.452457320671,229.379742682601
"20","MON101079-MON101087-MON101144-MON101149",199.177575001636,13.7546881398083,172.213932320672,226.141217682601
"21","MON101149",190.754500001636,13.7546881398083,163.790857320672,217.718142682601
"22","MON101347-MON101065-MON101068-MON101082",182.071375001636,13.7546881398083,155.107732320672,209.035017682601
"23","MON101349-MON101065-MON101068-MON101082",189.750125001636,13.7546881398083,162.786482320672,216.713767682601
"24","MON101386-MON101065-MON101068-MON101082-MON102125",179.914150001636,13.7546881398083,152.950507320672,206.877792682601
"25","MON200013-MON101065-MON101068-MON101082",198.127425001636,13.7546881398083,171.163782320672,225.091067682601
"26","MON200014-MON101065-MON101068-MON101082",182.084250001636,13.7546881398083,155.120607320672,209.047892682601
"27","MON200016-MON101065-MON101068-MON101082",181.177350001636,13.7546881398083,154.213707320672,208.140992682601
"28","MON200016-MON200014-MON101065-MON101068-MON101082",188.232675001636,13.7546881398083,161.269032320672,215.196317682601
"29","MON200026-MON101065-MON101068-MON101082",193.054425001636,13.7546881398083,166.090782320672,220.018067682601
"30","MON200039-MON101065-MON101068-MON101082",182.646925001636,13.7546881398083,155.683282320672,209.610567682601
"31","MON200074-MON101065-MON101068-MON101082",180.357450001636,13.7546881398083,153.393807320672,207.321092682601
"32","MON200074-MON200014-MON101065-MON101068-MON101082",189.665450001636,13.7546881398083,162.701807320672,216.629092682601
"33","MON200074-MON200016-MON101065-MON101068-MON101082",193.000175001636,13.7546881398083,166.036532320672,219.963817682601
"34","MON200074-MON200132-MON101065-MON101068-MON101082",187.605150001636,13.7546881398083,160.641507320672,214.568792682601
"35","MON200074-MON200325-MON101065-MON101068-MON101082",184.478225001636,13.7546881398083,157.514582320672,211.441867682601
"36","MON200094-MON101065-MON101068-MON101082",183.460050001636,13.7546881398083,156.496407320672,210.423692682601
"37","MON200096-MON101065-MON101068-MON101082",180.993400001636,13.7546881398083,154.029757320672,207.957042682601
"38","MON200096-MON200014-MON101065-MON101068-MON101082",183.820850001636,13.7546881398083,156.857207320672,210.784492682601
"39","MON200096-MON200016-MON101065-MON101068-MON101082",185.547925001636,13.7546881398083,158.584282320672,212.511567682601
"40","MON200096-MON200074-MON101065-MON101068-MON101082",191.772875001636,13.7546881398083,164.809232320672,218.736517682601
"41","MON200096-MON200132-MON101065-MON101068-MON101082",191.581425001636,13.7546881398083,164.617782320671,218.545067682601
"42","MON200096-MON200325-MON101065-MON101068-MON101082",195.704400001636,13.7546881398083,168.740757320672,222.668042682601
