"factor1","fieldId","repId","numValue","experimentalUnitId"
1,1,1,212.106250390081,1
2,1,1,185.892042640371,2
3,1,1,210.397655376637,3
4,1,1,214.062232187308,4
5,1,1,192.172182736555,5
6,1,1,222.873439079514,6
7,1,1,216.036040506427,7
8,1,1,210.35578417968,8
9,1,1,237.898391375613,9
10,1,1,236.990614981803,10
11,1,1,215.52524764484,11
12,1,1,216.190304811029,12
13,1,1,212.822929275507,13
14,1,1,222.799427886304,14
15,1,1,223.398793160317,15
16,1,1,221.517095741358,16
17,1,1,207.965450232282,17
18,1,1,211.046792244339,18
19,1,1,229.658922531597,19
20,1,1,212.435863762208,20
21,1,1,185.249102782513,21
22,1,1,236.458767380592,22
23,1,1,246.474395301922,23
24,1,1,234.115953075506,24
25,1,1,196.461011144382,25
26,1,1,185.650292822824,26
27,1,1,217.860033285726,27
28,1,1,202.032426169455,28
29,1,1,246.838446846583,29
30,1,1,215.651515192583,30
31,1,1,237.640789267424,31
32,1,1,258.726431289343,32
33,1,1,238.477406799583,33
34,1,1,216.562969980962,34
35,1,1,213.373672592347,35
36,1,1,192.416499859953,36
37,1,1,240.116324084428,37
38,1,1,208.421694437484,38
39,1,1,171.031864099581,39
40,1,1,237.785198858649,40
41,1,1,248.566174292018,41
42,1,1,240.430331209487,42
43,1,1,231.795464425155,43
44,1,1,226.546084695967,44
45,1,1,237.593924885436,45
46,1,1,255.971633182809,46
47,1,1,206.147202614602,47
48,1,1,213.224286330848,48
49,1,1,214.775990183347,49
50,1,1,173.489668407676,50
51,1,1,214.287789629663,51
52,1,1,198.007200858268,52
53,1,1,227.548526454495,53
54,1,1,217.853100415591,54
55,1,1,227.834779909837,55
56,1,1,238.473648674938,56
57,1,1,223.797706554917,57
58,1,1,267.43126314759,58
59,1,1,199.531889578689,59
60,1,1,223.849014762633,60
1,2,1,225.101428505873,61
2,2,1,199.24191368957,62
3,2,1,231.388072009839,63
4,2,1,230.222979988379,64
5,2,1,205.208833196579,65
6,2,1,214.01623796182,66
7,2,1,222.056339504367,67
8,2,1,204.940509900038,68
9,2,1,237.106988967699,69
10,2,1,188.879740840589,70
11,2,1,210.462174646983,71
12,2,1,211.323080819008,72
13,2,1,240.336688916549,73
14,2,1,206.551070829447,74
15,2,1,224.669662437916,75
16,2,1,213.425906111325,76
17,2,1,220.290528358592,77
18,2,1,204.615411903354,78
19,2,1,195.173034071467,79
20,2,1,227.912141143827,80
21,2,1,215.834248832415,81
22,2,1,253.626685788723,82
23,2,1,200.029943884813,83
24,2,1,214.045140099862,84
25,2,1,192.84254135819,85
26,2,1,204.373472336226,86
27,2,1,179.806986443225,87
28,2,1,182.253559649254,88
29,2,1,202.525069052031,89
30,2,1,244.499427677885,90
31,2,1,226.578123916171,91
32,2,1,231.941481223497,92
33,2,1,205.678446497807,93
34,2,1,179.404684695246,94
35,2,1,196.857331568332,95
36,2,1,191.615865518996,96
37,2,1,239.029244444562,97
38,2,1,204.262288912869,98
39,2,1,191.876509535268,99
40,2,1,196.547091495397,100
41,2,1,218.834257123905,101
42,2,1,232.388508067396,102
43,2,1,212.036527350139,103
44,2,1,240.686206202887,104
45,2,1,208.808813222673,105
46,2,1,215.386797416997,106
47,2,1,195.562141689835,107
48,2,1,196.963027123988,108
49,2,1,200.349102544169,109
50,2,1,224.292625280098,110
51,2,1,211.763624859544,111
52,2,1,198.536056740145,112
53,2,1,213.25523008433,113
54,2,1,176.612972353127,114
55,2,1,178.068053387629,115
56,2,1,198.628614984958,116
57,2,1,258.157501577214,117
58,2,1,227.649159205746,118
59,2,1,191.793940160319,119
60,2,1,200.07188977707,120
1,3,1,224.327728630804,121
2,3,1,213.240196652665,122
3,3,1,189.685957432386,123
4,3,1,228.871850744502,124
5,3,1,210.978785602885,125
6,3,1,225.98974008781,126
7,3,1,188.411242148417,127
8,3,1,225.650170456822,128
9,3,1,209.44563432744,129
10,3,1,205.409396663525,130
11,3,1,233.713828210004,131
12,3,1,235.756877371894,132
13,3,1,235.988571639646,133
14,3,1,224.360597922099,134
15,3,1,228.403578532863,135
16,3,1,196.265854509795,136
17,3,1,222.129097295435,137
18,3,1,216.521679442287,138
19,3,1,223.254502633391,139
20,3,1,228.372125057916,140
21,3,1,164.948708709136,141
22,3,1,207.581651161292,142
23,3,1,201.021986373505,143
24,3,1,209.818637816536,144
25,3,1,189.934681846139,145
26,3,1,206.492879328917,146
27,3,1,219.619839913534,147
28,3,1,200.818588473505,148
29,3,1,228.863489315738,149
30,3,1,218.609802649173,150
31,3,1,234.172248970619,151
32,3,1,213.451796000381,152
33,3,1,246.148492981368,153
34,3,1,204.95717503458,154
35,3,1,218.819124477155,155
36,3,1,231.897140108498,156
37,3,1,254.993663402057,157
38,3,1,237.419268539465,158
39,3,1,223.944273114419,159
40,3,1,197.678840157509,160
41,3,1,250.797584088466,161
42,3,1,227.496249391094,162
43,3,1,224.825619143231,163
44,3,1,224.409964633301,164
45,3,1,229.582536056188,165
46,3,1,237.447202788746,166
47,3,1,263.897277813735,167
48,3,1,212.660116616143,168
49,3,1,235.26044682963,169
50,3,1,227.267802479979,170
51,3,1,195.703435622709,171
52,3,1,262.740840395995,172
53,3,1,257.338683616508,173
54,3,1,217.91408355014,174
55,3,1,176.00396888497,175
56,3,1,219.240731567141,176
57,3,1,261.72825849883,177
58,3,1,228.195100572796,178
59,3,1,211.930413413728,179
60,3,1,190.014236113141,180
1,4,1,249.55982894411,181
2,4,1,219.271366628746,182
3,4,1,236.849444757697,183
4,4,1,244.545987996913,184
5,4,1,231.619917245562,185
6,4,1,241.164002701652,186
7,4,1,215.322917079553,187
8,4,1,226.631021234874,188
9,4,1,228.608298190569,189
10,4,1,223.766180811664,190
11,4,1,214.548232493393,191
12,4,1,280.198635632973,192
13,4,1,249.894881222631,193
14,4,1,229.043224297248,194
15,4,1,246.028782629073,195
16,4,1,231.121422379934,196
17,4,1,199.621406542968,197
18,4,1,241.247591732296,198
19,4,1,220.584610193282,199
20,4,1,223.102219938289,200
21,4,1,195.917096867254,201
22,4,1,200.541066800068,202
23,4,1,211.702916726819,203
24,4,1,195.003551467535,204
25,4,1,233.010098423628,205
26,4,1,210.089171358901,206
27,4,1,211.995793228869,207
28,4,1,191.290553796123,208
29,4,1,209.900042493195,209
30,4,1,232.905938965223,210
31,4,1,189.359890586915,211
32,4,1,233.208636724528,212
33,4,1,204.758968492372,213
34,4,1,221.218542252112,214
35,4,1,204.262673726218,215
36,4,1,195.457373670573,216
37,4,1,218.134548616245,217
38,4,1,223.56301609951,218
39,4,1,204.17694139723,219
40,4,1,216.96388978984,220
41,4,1,245.477898580187,221
42,4,1,248.440730155226,222
43,4,1,181.206437090866,223
44,4,1,223.840163429786,224
45,4,1,253.293532435666,225
46,4,1,221.588375380064,226
47,4,1,234.539924143585,227
48,4,1,226.577712890629,228
49,4,1,236.483375318904,229
50,4,1,213.804888347123,230
51,4,1,219.434194166776,231
52,4,1,254.6290369955,232
53,4,1,228.05585345481,233
54,4,1,217.266004007544,234
55,4,1,235.265888345379,235
56,4,1,221.312161469904,236
57,4,1,236.973690067664,237
58,4,1,241.822090736159,238
59,4,1,205.927856792272,239
60,4,1,178.148251156088,240
1,5,1,254.392573538665,241
2,5,1,250.967406743751,242
3,5,1,237.67274719056,243
4,5,1,256.940397271713,244
5,5,1,277.846025223667,245
6,5,1,273.511346494325,246
7,5,1,258.020055401019,247
8,5,1,230.361177377587,248
9,5,1,249.997808552406,249
10,5,1,255.69687994898,250
11,5,1,210.911809076894,251
12,5,1,271.265363970595,252
13,5,1,294.87600506117,253
14,5,1,281.803640136321,254
15,5,1,244.28205155596,255
16,5,1,245.560401060653,256
17,5,1,283.175944320819,257
18,5,1,268.548347584002,258
19,5,1,254.002640104463,259
20,5,1,212.467715410119,260
21,5,1,229.940418808062,261
22,5,1,269.533566324195,262
23,5,1,254.557254545864,263
24,5,1,234.277776169594,264
25,5,1,268.598108912727,265
26,5,1,215.154789525075,266
27,5,1,234.189426302151,267
28,5,1,264.94399981028,268
29,5,1,259.383187802497,269
30,5,1,230.113980823443,270
31,5,1,255.167337147528,271
32,5,1,256.01988809225,272
33,5,1,269.651091055189,273
34,5,1,206.33961250051,274
35,5,1,223.576200701901,275
36,5,1,211.487882192189,276
37,5,1,227.003335787503,277
38,5,1,229.870945007889,278
39,5,1,234.244596257201,279
40,5,1,246.760490365321,280
41,5,1,234.094069992299,281
42,5,1,243.607412390436,282
43,5,1,263.522927612054,283
44,5,1,239.570239190136,284
45,5,1,260.907435597227,285
46,5,1,287.882413159535,286
47,5,1,273.667278396084,287
48,5,1,232.333943407856,288
49,5,1,256.586111842331,289
50,5,1,260.550656692291,290
51,5,1,257.696603548566,291
52,5,1,290.216899253849,292
53,5,1,250.439963901808,293
54,5,1,247.239165130579,294
55,5,1,238.135399457893,295
56,5,1,254.52564342012,296
57,5,1,245.226922109156,297
58,5,1,266.056901075587,298
59,5,1,251.053997890975,299
60,5,1,216.148157813993,300
1,6,1,219.122188501007,301
2,6,1,256.43957964137,302
3,6,1,233.446929485027,303
4,6,1,242.128778885431,304
5,6,1,252.80435281591,305
6,6,1,245.103899869478,306
7,6,1,215.426327665881,307
8,6,1,261.915127460006,308
9,6,1,219.344809650123,309
10,6,1,201.237767094057,310
11,6,1,256.791807385324,311
12,6,1,236.127498714743,312
13,6,1,261.162663625917,313
14,6,1,222.687517536658,314
15,6,1,238.019301541237,315
16,6,1,246.719030275768,316
17,6,1,245.822953368365,317
18,6,1,241.886258271805,318
19,6,1,227.391575213985,319
20,6,1,246.954920830808,320
21,6,1,197.511256983203,321
22,6,1,246.883188042941,322
23,6,1,269.482851859816,323
24,6,1,240.742750043735,324
25,6,1,256.948138950369,325
26,6,1,260.595962525819,326
27,6,1,223.443506738577,327
28,6,1,236.1480085694,328
29,6,1,247.490762253398,329
30,6,1,261.052599534054,330
31,6,1,249.758758853982,331
32,6,1,247.754612238669,332
33,6,1,233.199272949023,333
34,6,1,267.468113499825,334
35,6,1,207.482124641211,335
36,6,1,238.500917428083,336
37,6,1,233.392015954022,337
38,6,1,220.913366052118,338
39,6,1,232.961569940328,339
40,6,1,212.817214053568,340
41,6,1,235.246239786186,341
42,6,1,237.114717195804,342
43,6,1,210.358974131553,343
44,6,1,250.592050594471,344
45,6,1,245.227278695855,345
46,6,1,258.25009957567,346
47,6,1,197.571023646561,347
48,6,1,229.936803876879,348
49,6,1,242.710018316258,349
50,6,1,262.581314814022,350
51,6,1,244.566254881396,351
52,6,1,247.786104438491,352
53,6,1,269.951913626355,353
54,6,1,238.557523501792,354
55,6,1,219.771362996793,355
56,6,1,208.943988934572,356
57,6,1,250.247155658419,357
58,6,1,254.041396654896,358
59,6,1,233.010592392502,359
60,6,1,222.264464982737,360
1,7,1,228.708055528193,361
2,7,1,203.236371927047,362
3,7,1,209.266476730107,363
4,7,1,208.853336066597,364
5,7,1,202.272903656271,365
6,7,1,231.738843557735,366
7,7,1,191.541547200419,367
8,7,1,203.108566697357,368
9,7,1,215.47711466258,369
10,7,1,201.236943582942,370
11,7,1,213.922164530246,371
12,7,1,216.028050040721,372
13,7,1,232.499629987344,373
14,7,1,216.43577795456,374
15,7,1,230.922485944031,375
16,7,1,185.11773079944,376
17,7,1,191.287086730409,377
18,7,1,223.601015480987,378
19,7,1,220.495753818273,379
20,7,1,201.996293478889,380
21,7,1,177.861237756927,381
22,7,1,195.235169841617,382
23,7,1,216.415030153552,383
24,7,1,196.696621679616,384
25,7,1,188.716490047287,385
26,7,1,184.851737323829,386
27,7,1,211.65973574622,387
28,7,1,204.745208682997,388
29,7,1,179.448644845186,389
30,7,1,197.201958822518,390
31,7,1,212.539587574779,391
32,7,1,207.115545619802,392
33,7,1,223.548275206492,393
34,7,1,210.029716018816,394
35,7,1,185.980380048588,395
36,7,1,207.860718134196,396
37,7,1,218.277405584076,397
38,7,1,189.72942259982,398
39,7,1,163.884275492429,399
40,7,1,179.902256709179,400
41,7,1,204.707085226803,401
42,7,1,230.802344765583,402
43,7,1,207.418913386551,403
44,7,1,242.952102605035,404
45,7,1,201.212360089013,405
46,7,1,201.271410940348,406
47,7,1,221.605776195302,407
48,7,1,180.135972835075,408
49,7,1,200.999240887517,409
50,7,1,200.688777463398,410
51,7,1,191.147841126549,411
52,7,1,189.452813091687,412
53,7,1,232.120711529174,413
54,7,1,198.516477795816,414
55,7,1,187.692541962005,415
56,7,1,196.953626488548,416
57,7,1,234.45973416404,417
58,7,1,209.075884802485,418
59,7,1,173.496640774896,419
60,7,1,196.933785101309,420
